region,is_active,city,state,country,currency_code,locale,timezone,geometry,updated_at,updated_by
RHY,False,Saint John,NB,CA,CAD,en_CA,America/Moncton,740793778160355490423,2023-03-16 21:13:37.734,yvega@mail.com
DEP,True,Seattle,WA,US,USD,en_US,America/Los_Angeles,884859530192584146436,2023-03-16 21:13:37.734,vanessa59@test.com
XYE,True,Virginia Beach-Hampton Roads,VA,US,USD,en_US,America/New_York,355868681131346543501,2023-03-16 21:13:37.734,xortiz@demo.com
GNT,True,Cheyenne,WY,US,USD,en_US,America/Denver,902699396594175915998,2023-03-16 20:31:25.306,pesparza@mail.com
IHQ,True,Auburn,AL,US,USD,en_US,America/Chicago,785940465802481907476,2023-03-16 19:53:43.191,bwiggins@test.com
SFS,True,Minneapolis Simulated,MN,US,USD,en_US,America/Los_Angeles,887765659583987881654,2022-09-28 18:32:04.013,linda67@test.com
FFA,True,Lexington,KY,US,USD,en_US,America/New_York,954562103094604691203,2023-03-16 20:45:22.292,christopher11@demo.com
RIG,True,Victoria,TX,US,USD,en_US,America/Chicago,829705242136432027342,2023-03-16 21:13:37.734,mmitchell@mail.com
AID,True,Fort Myers,FL,US,USD,en_US,America/New_York,783818230255661042096,2023-03-16 21:13:37.734,bperez@example.com
KIG,False,Saskatoon,SK,CA,CAD,en_CA,America/Denver,658985007097210873235,2023-03-16 21:13:37.734,nrobertson@test.com
ENW,True,Florida Keys,FL,US,USD,en_US,America/New_York,247047058862134668172,2023-03-16 20:31:25.306,mark42@example.com
